10,YOLOv3_64.7.csv,64.7,76.245
1,YOLOv3_64.9.csv,64.9,74.989
16,YOLOv3_65.1.csv,65.1,73.885
20,YOLOv3_65.3.csv,65.3,72.722
15,YOLOv3_65.5.csv,65.5,72.717
19,YOLOv3_65.7.csv,65.7,72.606
6,YOLOv3_65.9.csv,65.9,72.590
3,YOLOv3_66.1.csv,66.1,72.239
14,YOLOv3_66.3.csv,66.3,72.170
18,YOLOv3_66.5.csv,66.5,71.672
17,YOLOv3_66.7.csv,66.7,70.501
8,YOLOv3_66.9.csv,66.9,70.234
0,YOLOv3_67.1.csv,67.1,69.857
11,YOLOv3_67.3.csv,67.3,69.422
2,YOLOv3_67.5.csv,67.5,68.385
5,YOLOv3_67.7.csv,67.7,67.688
9,YOLOv3_67.9.csv,67.9,65.143
7,YOLOv3_68.1.csv,68.1,64.564
21,YOLOv3_68.3.csv,68.3,62.373
13,YOLOv3_68.5.csv,68.5,60.054
4,YOLOv3_68.7.csv,68.7,59.488
12,YOLOv3_68.77.csv,68.77,58.462
,Filename,accuracy,HV
