,order,host,freq,,,,,graph
,GLBBBBBB,BL,[  1200000   1416000 600000000],34.99,243.46,2,[4 5 3 2 2 0 3 1 1 0 1 6],Alex
,GLBBBBBB,BL,[  1200000   1200000 600000000],35.51,237.29,2,[4 4 3 2 2 0 3 1 1 0 1 6],Alex
,NNNNNNNN,BB,[  1416000   1800000 800000000],,,,,Alex
,GLNNNNNN,BL,[  1200000   1416000 600000000],34.99,243.46,2,[4 5 3 2 2 0 3 1 1 0 1 6],Alex
,GLNNNNNN,BL,[  1200000   1200000 600000000],35.51,237.29,2,[4 4 3 2 2 0 3 1 1 0 1 6],Alex
,GNNNNNNB,BL,[   408000   1608000 600000000],40.26,226.39,1,[0 6 3 2 2 3 1 0 0 1 1 6],Alex
,GNNNNNNB,BL,[   600000   1608000 600000000],40.39,225.83,1,[1 6 3 2 2 3 1 0 0 1 1 6],Alex
,GNNNNNNL,BL,[  1008000   1608000 600000000],40.45,224.67,1,[3 6 3 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNL,BL,[   600000   1608000 600000000],40.5,224.42,1,[1 6 3 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNL,BL,[  1200000   1416000 600000000],40.52,220.68,1,[4 5 3 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNL,BL,[   816000   1416000 600000000],40.57,220.22,1,[2 5 3 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNB,BL,[   816000   1200000 600000000],40.82,218.18,1,[2 4 3 2 2 3 1 0 0 1 1 6],Alex
,GNNNNNNB,BL,[  1200000   1200000 600000000],40.85,216.17,1,[4 4 3 2 2 3 1 0 0 1 1 6],Alex
,GNNNNNNL,BL,[   816000   1200000 600000000],40.95,214.92,1,[2 4 3 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNL,BL,[  1200000   1416000 400000000],41.14,212.99,1,[4 5 2 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNL,BL,[  1008000   1008000 600000000],41.37,211.18,1,[3 3 3 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNL,BL,[   600000   1008000 600000000],41.54,210.43,1,[1 3 3 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNL,BL,[   816000   1008000 600000000],41.58,209.77,1,[2 3 3 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNL,BL,[   600000   1200000 400000000],42.8,209.39,1,[1 4 2 2 2 3 0 1 1 0 1 6],Alex
,GNNNNNNL,BL,[   816000   1200000 400000000],42.88,208.89,1,[2 4 2 2 2 3 0 1 1 0 1 6],Alex
,NNNNNNNB,LL,[  1200000   1608000 200000000],45.76,202.87,0,[4 6 0 0 3 1 0 2 0 1 0 7],Alex
,NNNNNNNB,BL,[   408000   1608000 200000000],45.85,202.29,0,[0 6 0 2 3 1 0 2 0 1 0 7],Alex
,NNNNNNNB,BL,[   600000   1416000 200000000],46.05,197.4,0,[1 5 0 2 3 1 0 2 0 1 0 7],Alex
,NNNNNNNB,BL,[  1200000   1200000 200000000],46.42,194.91,0,[4 4 0 2 3 1 0 2 0 1 0 7],Alex
,NNNNNNNB,BL,[   408000   1200000 200000000],46.5,193.91,0,[0 4 0 2 3 1 0 2 0 1 0 7],Alex
,NNNNNNNB,LL,[   408000   1008000 200000000],47.04,193.14,0,[0 3 0 0 3 1 0 2 0 1 0 7],Alex
,NNNNNNNB,BL,[   600000   1008000 200000000],47.21,191.55,0,[1 3 0 2 3 1 0 2 0 1 0 7],Alex
