order,host,freq,graph,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e,output_time
GLBBBBBB,BL,{{4-5-3}},Alex,15.8583,149.8445,165.7028,4661.28952244337,5334.06547241185,73.9201276337637,799.280373680818,873.200501314581,0.237912
GLBBBBBB,BL,{{4-4-3}},Alex,18.6677,167.262,185.9297,4270.68892645816,4991.32252986418,79.7239396724429,834.858588990143,914.582528662586,0.310625
GLNNNNNN,BL,{{4-5-3}},Alex,16.0716,60.8774,76.949,4457.82342657343,5178.92850169365,71.6443549825175,315.279701969005,386.924056951522,0.322204
GLNNNNNN,BL,{{4-4-3}},Alex,18.9168,61.0856,80.0024,4122.7100591716,5099.44153308921,77.9884816473373,311.502445713674,389.490927361011,0.470283
GNNNNNNB,BL,{{0-6-3}},Alex,14.1018,35.74477,49.84657,4895.76923076923,5020.91794871795,69.0391585384615,179.471557265795,248.510715804256,0.468913
GNNNNNNB,BL,{{1-6-3}},Alex,14.039,35.0521,49.0911,4826.89743589744,4974.84478130565,67.7648131025641,174.378756758804,242.143569861368,0.277025
GNNNNNNB,BL,{{2-4-3}},Alex,18.6666,37.18871,55.85531,4236.97403024326,4826.71223703832,79.0898994329389,179.49920163667,258.589101069608,0.446396
GNNNNNNB,BL,{{4-4-3}},Alex,18.6536,36.1827,54.8363,4211.79487179487,4787.98710347624,78.5651368205128,173.24230096895,251.807437789462,0.258679
GNNNNNNL,BL,{{3-6-3}},Alex,15.4536,35.79915,51.25275,4723.61538461538,4957.73874009991,72.9968627076923,177.482832817648,250.47969552534,0.376483
GNNNNNNL,BL,{{1-6-3}},Alex,14.0899,36.06474,50.15464,4612.44444444444,4919.97049255093,64.9888809777778,177.437456621521,242.426337599299,0.582108
GNNNNNNL,BL,{{4-5-3}},Alex,15.9434,35.51547,51.45887,4470.35975135975,4958.23613777527,71.2727336598291,176.094086804073,247.366820463902,0.325179
GNNNNNNL,BL,{{2-5-3}},Alex,15.9835,35.56652,51.55002,4410.01398601399,4866.99718759501,70.4874585454545,173.102152812542,243.589611357996,0.456225
GNNNNNNL,BL,{{2-4-3}},Alex,18.7533,36.71021,55.46351,4083.70315581854,4766.60317725752,76.5829103920118,174.983003623791,251.565914015803,0.451879
GNNNNNNL,BL,{{4-5-2}},Alex,15.9314,40.63162,56.56302,4356.85314685315,4580.79815910585,69.4107702237762,186.125250097488,255.536020321265,0.322904
GNNNNNNL,BL,{{3-3-3}},Alex,24.4978,36.18475,60.68255,3942.7750925545,4694.01714227801,96.5893156623818,169.851836789044,266.441152451426,0.3759
GNNNNNNL,BL,{{1-3-3}},Alex,24.481,37.02172,61.50272,3820.43834841629,4661.86901287119,93.5281512075792,172.590409271194,266.118560478773,0.584908
GNNNNNNL,BL,{{2-3-3}},Alex,24.4173,36.85629,61.27359,3842.63009049774,4702.31980845242,93.8266517087104,173.310062533067,267.136714241777,0.448729
GNNNNNNL,BL,{{1-4-2}},Alex,18.7325,43.51946,62.25196,3969.64919695689,4359.82350918558,74.3614535819949,189.737164815061,264.098618397056,0.578288
GNNNNNNL,BL,{{2-4-2}},Alex,18.7005,42.57227,61.27277,4014.84714003945,4393.57735544738,75.0796489423077,187.044561441992,262.1242103843,0.455642
NNNNNNNB,BL,{{0-6-0}},Alex,17.9693,22.6114,40.5807,4587.97068316299,4377.31375166535,82.4426215969607,98.9771921644058,181.419813761367,0.27475
NNNNNNNB,BL,{{1-5-0}},Alex,20.4292,22.05318,42.48238,4318.26500422654,4242.14272454544,88.2186994243449,93.552737090091,181.771436514436,0.512867
NNNNNNNB,BL,{{4-4-0}},Alex,23.9685,22.91387,46.88237,4012.37360772711,4069.22717666948,96.1705768168073,93.2417425266716,189.412319343479,0.422946
NNNNNNNB,BL,{{0-4-0}},Alex,24.0266,25.07386,49.10046,3894.34671945701,3963.24876104288,93.5679108897059,99.3739445795626,192.941855469269,0.374442
NNNNNNNB,BL,{{1-3-0}},Alex,28.6014,24.35057,52.95197,3680.22132253711,3846.33830159283,105.259482134413,93.6605300566172,198.92001219103,0.295108
NNNNNNNB,LL,{{4-6-0}},Alex,15.8079,19.16342,34.97132,4804.1048951049,4521.72726813944,75.9428097713287,86.6517587648087,162.594568536137,0.485625
NNNNNNNB,LL,{{0-3-0}},Alex,25.1418,22.45753,47.59933,3791.41094199918,3957.27472527473,95.3228956215549,88.8706158610989,184.193511482654,0.578229
NNNNNNNN,BB,{{5-7-4}},Alex,14.1263,14.512,28.6383,5071.82051282051,4702.13869463869,71.6460581102564,68.2374367365967,139.883494846853,0.218312
