Layer,Energy_B,Energy_G,Energy_L,Energy_N,Power-Efficiency_B,Power-Efficiency_G,Power-Efficiency_L,Power-Efficiency_N,Time_B,Time_G,Time_L,Time_N
0,137.7523146588727,223.6572150381641,264.7859789846305,232.7506121861083,7.2594061484656836,4.471127836539337,3.77663501607857,4.296444123637347,36.084849999999996,63.14962,81.08393333333332,71.46039999999999
1,81.75042116179604,83.47266553228982,90.10093354477624,43.0710103237671,12.232352883183975,11.97996965381642,11.098664138735517,23.217472552488235,17.6591625,21.169900000000002,23.0722,12.8764874
2,56.485145558040145,68.59504322324165,54.47348994322905,39.65781027434483,17.703769550748003,14.578312849013207,18.357553390505654,25.215713956020245,12.9297875,17.4971,13.7565,11.893720799999999
3,92.76792578368021,102.84536763628432,74.33318701069952,38.74798200552329,10.779587789122699,9.723335362430028,13.452941279862788,25.807795612619415,20.8672,26.770519999999998,18.319283333333335,11.607158400000001
4,39.968390475317584,51.81953497593072,37.2722380340391,25.631657770345747,25.019771577180432,19.297741681095417,26.829620456027993,39.014253738864234,9.744725,13.6029,9.680233333333334,7.7151499
5,64.31936355862439,81.82367012230017,53.60000608648704,28.121671698694527,15.547417522073927,12.221402419438292,18.656714299368474,35.55976368383613,14.872575,21.14564,13.530266666666668,8.3923125
6,28.715907841832134,49.07035034283774,28.9469761449236,15.142036011036828,34.823903374673804,20.37890483791826,34.54592268959219,66.04131698479078,7.1936125,12.47132,7.5781,4.5739292
7,54.10881707010271,85.78625641319509,47.86007122936338,16.246096213994342,18.481276327006235,11.656878873271202,20.89424387204995,61.553248659121124,11.895475,20.73204,11.8162,4.8737377
8,54.68300457740342,82.93934570077775,47.57377339117547,16.16815705573231,18.287217531811127,12.057003724236308,21.01998493534447,61.84996821548421,12.1201125,20.01992,11.854416666666665,4.870375
9,53.908710034085686,83.05592043470035,47.51368697080042,16.105305504066592,18.549878106297008,12.040080884856524,21.04656707896718,62.09134000888712,11.891575,20.04252,11.826300000000002,4.8634377
10,54.051676589352496,81.47733053179954,48.00368988305029,16.107561842885374,18.50081372308417,12.273352519934525,20.831731944695605,62.082642286529214,11.9047625,19.68016,11.932450000000001,4.8689499
11,53.43448776582344,83.38725351209159,47.89427986042845,16.32703206818182,18.714505215854196,11.992240514972648,20.87932009655765,61.24811881449071,11.7840875,20.05708,11.891666666666666,4.8827707
12,34.54293709515086,49.019567672444374,26.583195917735043,38.50085037123746,28.949478072621105,20.400016717449247,37.61774931406376,25.97345228372053,8.7411125,11.8301,7.030450000000001,11.6668708
13,70.86990278543432,129.05658546500166,52.9371247766314,72.0229606662631,14.11036223695127,7.748539110940495,18.890334603919417,13.884461160014748,17.219025,31.05456,13.195133333333333,21.7017832
