,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,ARM-CO-UP,,,,,,,,Pipe-it,,,,,,,,,
,,Model,Pipeline-Time,FPS,Latency,Power,Energy,Power-Efficiency,Order,,Pipeline-Time,FPS,Latency,Power,Energy,Power-Efficiency,split,,Normalized FPS,Normalized PE
,,AlexNet,115,8.69565217391304,196.1,7186,826.39,1.21008240661189,BBBBLLLL,,237,4.21940928270042,,5534,1311.558,0.762451984586271,43,,2.06086956521739,1.58709326105108
,,GoogleNet,109.6,9.12408759124088,179.2,7727,846.8792,1.18080595201771,BBBBBBLLLLLLL,,180.7,5.53403431101273,,6521,1178.3447,0.848648107807503,98,,1.64872262773723,1.39139643528853
,,Mobilenet,73.8,13.550135501355,131,7918,584.3484,1.71130784306075,BBBBBBBBBBBBBBLLLLLLLLLLLLLL,,121.9,8.20344544708778,,7223,880.4837,1.13573936689572,114,,1.65176151761518,1.50677866149715
,,Resnet50,273.7,3.65363536719035,513.7,8199,2244.0663,0.445619632539377,BBBBBBBBBLLLLLLLLL,,369.4,2.70709258256632,,7000,2585.8,0.386727511795189,231,,1.34965290464012,1.15228324582032
,,Squeezenet,79.9,12.5156445556946,131.3,7475,597.2525,1.67433371982537,BBBBBBBBBLLLLLLLLLL,103.3-150,124.8,8.01282051282051,,6155,768.144,1.30183923847612,61,,1.56195244055069,1.28612940088154
