Graph,Layer,Dest,Src,Time
MobileV1,0,Big,GPU,4.63859
MobileV1,1,GPU,Big,7.35002
MobileV1,2,Big,GPU,4.50869
MobileV1,3,GPU,Big,4.47487
MobileV1,4,Big,GPU,2.33751
MobileV1,5,GPU,Big,2.90823
MobileV1,6,Big,GPU,1.05686
MobileV1,7,GPU,Big,2.08233
MobileV1,8,Big,GPU,1.09752
MobileV1,9,GPU,Big,1.91187
MobileV1,10,Big,GPU,1.03898
MobileV1,11,GPU,Big,2.26006
MobileV1,12,Big,GPU,0.763564
MobileV1,0,GPU,Big,4.60864
MobileV1,1,Big,GPU,5.61714
MobileV1,2,GPU,Big,5.44593
MobileV1,3,Big,GPU,3.61389
MobileV1,4,GPU,Big,2.82323
MobileV1,5,Big,GPU,2.17693
MobileV1,6,GPU,Big,2.29965
MobileV1,7,Big,GPU,1.04837
MobileV1,8,GPU,Big,2.22536
MobileV1,9,Big,GPU,1.01415
MobileV1,10,GPU,Big,1.91595
MobileV1,11,Big,GPU,1.05873
MobileV1,12,GPU,Big,1.9099
MobileV1,0,Little,GPU,3.17958
MobileV1,1,GPU,Little,6.56578
MobileV1,2,Little,GPU,2.74492
MobileV1,3,GPU,Little,4.19959
MobileV1,4,Little,GPU,1.64223
MobileV1,5,GPU,Little,2.63797
MobileV1,6,Little,GPU,1.10583
MobileV1,7,GPU,Little,1.85096
MobileV1,8,Little,GPU,1.07827
MobileV1,9,GPU,Little,1.89996
MobileV1,10,Little,GPU,1.06755
MobileV1,11,GPU,Little,1.85802
MobileV1,12,Little,GPU,0.806424
MobileV1,0,GPU,Little,3.91878
MobileV1,1,Little,GPU,5.02644
MobileV1,2,GPU,Little,4.9593
MobileV1,3,Little,GPU,2.74349
MobileV1,4,GPU,Little,3.07633
MobileV1,5,Little,GPU,1.71536
MobileV1,6,GPU,Little,2.04982
MobileV1,7,Little,GPU,1.09787
MobileV1,8,GPU,Little,1.85834
MobileV1,9,Little,GPU,1.10053
MobileV1,10,GPU,Little,1.92375
MobileV1,11,Little,GPU,1.09798
MobileV1,12,GPU,Little,1.53581
MobileV1,0,Little,Big,1.7382
MobileV1,1,Big,Little,3.25151
MobileV1,2,Little,Big,1.48522
MobileV1,3,Big,Little,1.62336
MobileV1,4,Little,Big,0.628094
MobileV1,5,Big,Little,0.811251
MobileV1,6,Little,Big,0.312409
MobileV1,7,Big,Little,0.399024
MobileV1,8,Little,Big,0.325359
MobileV1,9,Big,Little,0.402301
MobileV1,10,Little,Big,0.350822
MobileV1,11,Big,Little,0.412018
MobileV1,12,Little,Big,0.197546
MobileV1,0,Big,Little,2.07678
MobileV1,1,Little,Big,3.00913
MobileV1,2,Big,Little,1.61893
MobileV1,3,Little,Big,1.46014
MobileV1,4,Big,Little,0.832864
MobileV1,5,Little,Big,0.633242
MobileV1,6,Big,Little,0.399632
MobileV1,7,Little,Big,0.326317
MobileV1,8,Big,Little,0.402242
MobileV1,9,Little,Big,0.345878
MobileV1,10,Big,Little,0.407565
MobileV1,11,Little,Big,0.345635
MobileV1,12,Big,Little,0.210812
