,,,,,power,latency
,,,,,5.17001103139075,4.685658
,,,,,5.15134605009654,4.692699
,,,,,5.03651117620823,4.706798
,,,,,5.03368676554581,4.832117
,,,,,5.01961403859732,4.650557
,,,,,5.00834496456506,4.753215
,,,,,4.99934345070235,4.804852
,,,,,4.99670424171072,4.839144
,,,,,4.93217159264403,4.839498
,,,,,4.91109908423039,4.877863
,,,,,4.88857034779384,4.856069
,,,,,4.86165851789736,4.904659
,,,,,4.84137571988272,5.081364
,,,,,4.81514911639898,5.109821
,,,,,4.77718967975472,5.105192
,,,,,4.7542812665889,5.134426
,,,,,4.74484451474938,5.066369
,,,,,4.70823956463209,5.181784
,,,,,4.70091008270046,5.146347
,,,,,4.66434101323714,5.138669
,,,,,4.66329141723077,5.290356
,,,,,4.60664104852096,5.333506
,,,,,4.59236641605915,5.362201
,,,,,4.58048367721786,5.374642
,,,,,4.5720935074382,5.448134
,,,,,4.53156664109476,5.464604
,,,,,4.44216063057657,5.890715
,,,,,4.39806746543209,5.970571
,,,,,4.39766825874129,6.036074
,,,,,4.39100433517554,5.850503
,,,,,4.33204415033472,5.966799
,,,,,4.33090762753405,6.078607
,,,,,4.32222180809731,6.09499
,,,,,4.26654435429983,6.158128
,,,,,4.24753729208606,6.428631
,,,,,4.21607306900198,6.576793
,,,,,4.21060139767767,6.492521
,,,,,4.18085004076137,6.626797
,,,,,4.17659010365099,6.590685
,,,,,4.17337400797182,6.311512
,,,,,4.16851127414299,6.589655
,,,,,4.12912860380223,6.875552
,,,,,4.1216414772405,6.951802
,,,,,4.11390322347891,6.830284
,,,,,4.09596223359207,6.963387
,,,,,4.02112929749216,7.655346
,,,,,3.97471109280657,7.6502387
,,,,,3.96569020173348,7.6015595
,,,,,3.95581635735445,8.0404211
,,,,,3.94846597509411,7.8414383
,,,,,3.94763897547659,7.933055
,,,,,3.94024999836108,8.1854781
,,,,,3.91596352841174,8.3122326
,,,,,3.89201804625226,8.4109124
,,,,,3.8786240702108,8.5783698
,,,,,3.85847394707547,8.6256266
,,,,,3.8531962867302,8.7565778
,,,,,3.83267547839826,8.4316976
,,,,,3.80410412855384,8.9750153
,,,,,3.79651281807502,8.8193112
,,,,,3.7859490055206,9.0532579
,,,,,3.77089052408932,9.1343067
,,,,,3.76074411334592,9.2283254
,,,,,3.75827589664394,9.1702402
,,,,,3.74950358190739,9.4160689
,,,,,3.73779183703998,9.711977
,,,,,3.73100467945044,9.73867370000001
,,,,,3.71781932529588,9.7116624
,,,,,3.69699406401297,10.0327031
,,,,,3.69695852564478,9.984603
,,,,,3.68685622654188,10.3233319
,,,,,3.67888738920227,10.4223059
,,,,,3.67324474820587,10.4972354
,,,,,3.66664763902415,10.5698892
,,,,,3.65960318805153,12.4609733
,,,,,3.65566886348367,10.7440798
,,,,,3.64728794499532,11.0480504
,,,,,3.64368026984844,10.8423282
,,,,,3.63934079008405,11.1003359
,,,,,3.63567171162949,11.4311641
,,,,,3.63420963554393,11.5328593
,,,,,3.60633349052817,11.1834179
,,,,,3.59482217202558,12.3252007
,,,,,3.58910754463592,11.9074842
,,,,,3.58901057272093,12.821574
,,,,,3.58820423799045,11.9443554
,,,,,3.58668517020511,12.0427252
,,,,,3.57472204173686,13.1467739
,,,,,3.56348474370294,13.253854
,,,,,3.55927655079094,14.3761552
,,,,,3.55429175741224,14.2793871
,,,,,3.54990714267957,14.4325644
,,,,,3.5482582916637,13.7156653
,,,,,3.54638458930484,13.4782093
,,,,,3.53293456575142,13.546454
,,,,,3.53226842050301,14.9041269
,,,,,3.52824355811755,14.8743206
,,,,,3.52323115735337,14.8611488
,,,,,3.49210645236299,15.547734
,,,,,3.4905339686781,15.5725994
