Layer,Big_GPU,Big_Little,GPU_Big,GPU_Little,Little_Big,Little_GPU
0,4.60864,1.7382,4.63859,3.17958,2.07678,3.91878
1,7.35002,3.00913,5.61714,5.02644,3.25151,6.56578
2,5.44593,1.48522,4.50869,2.74492,1.61893,4.9593
3,4.47487,1.46014,3.61389,2.74349,1.62336,4.19959
4,2.82323,0.628094,2.33751,1.64223,0.832864,3.07633
5,2.90823,0.633242,2.17693,1.71536,0.811251,2.63797
6,2.29965,0.312409,1.05686,1.10583,0.399632,2.04982
7,2.08233,0.326317,1.04837,1.09787,0.399024,1.85096
8,2.22536,0.325359,1.09752,1.07827,0.402242,1.85834
9,1.91187,0.345878,1.01415,1.10053,0.402301,1.89996
10,1.91595,0.350822,1.03898,1.06755,0.407565,1.92375
11,2.26006,0.345635,1.05873,1.09798,0.412018,1.85802
12,1.9099,0.197546,0.763564,0.806424,0.210812,1.53581
